title,native_title,rating,genres,directors,screenwriters,episodes,aired,aired_on,original_network,duration,content_rat,rank,popularity,watchers
Our Beloved Summer: The Movie(2022),그 해 우리는 : 더 무비,8.2,['Documentary'],['Kim Yoon Jin'],['Lee Na Eun'],1,"Jan 27, 2022",Thursday,['SBS'],1 hr. 30 min.,15+ - Teens 15 or older,#1302,#5399,"2,041"
To My Star: Making Film(2021),,8.2,['Documentary'],['Hwang Da Seul'],,1,"Feb  6, 2021",Saturday,['Viki'],13 min.,13+ - Teens 13 or older,#1362,#4692,"2,549"
Mine(2021),마인,8.2,"['Thriller', 'Mystery', 'Drama']",['Lee Na Jung'],['Baek Mi Kyung'],16,"May  8, 2021 - Jun 27, 2021","Saturday, Sunday","['Netflix', 'tvN']",1 hr. 10 min.,15+ - Teens 15 or older,#1339,#690,"22,415"
The Sound of Magic(2022),안나라수마나라,8.2,"['Music', 'Psychological', 'Drama', 'Fantasy']",['Kim Seong Yoon'],['Kim Min Jung'],6,"May  6, 2022",Friday,['Netflix'],1 hr. 10 min.,15+ - Teens 15 or older,#1347,#181,"55,493"
May It Please the Court(2022),변론을 시작하겠습니다,8.2,"['Mystery', 'Law', 'Drama']",['Kang Min Gu'],['Kim Dan'],12,"Sep 21, 2022 - Oct 26, 2022",Wednesday,"['Disney+', 'Hulu']",1 hr. 5 min.,15+ - Teens 15 or older,#1368,#2126,"7,243"
Queenmaker(2023),퀸 메이커,8.2,"['Business', 'Drama', 'Political']",['Oh Jin Suk'],['Moon Ji Young'],11,"Apr 14, 2023",Friday,['Netflix'],1 hr. 7 min.,15+ - Teens 15 or older,#1373,#2144,"7,155"
XX(2020),엑스엑스,8.2,"['Business', 'Romance', 'Life', 'Drama']",['Kim Joon Mo'],['Lee Seul'],10,"Jan 24, 2020 - Feb 21, 2020",Friday,"['MBC', 'Naver TV Cast', 'vLive']",25 min.,15+ - Teens 15 or older,#1442,#966,"16,845"
Tell Me What You Saw(2020),본대로 말하라,8.2,"['Thriller', 'Mystery']",['Lee Joon Hyeong'],['Ko Yeong Jae'],16,"Feb  1, 2020 - Mar 22, 2020","Saturday, Sunday",['OCN'],60 min.,15+ - Teens 15 or older,#1422,#935,"17,447"
Drama Special Season 14: TV Cinema - Behind the Shadows(2023),드라마 스페셜 2023: TV시네마 - 그림자 고백,8.2,"['Historical', 'Romance']",['Lee Dae Kyung'],,1,"Dec  9, 2023",Saturday,['KBS2'],1 hr. 22 min.,13+ - Teens 13 or older,#1361,#5231,"2,143"
Run On(2020),런온,8.2,"['Romance', 'Life', 'Drama', 'Sports']",['Lee Jae Hoon'],['Park Shi Hyun'],16,"Dec 16, 2020 - Feb  4, 2021","Wednesday, Thursday","['jTBC', 'Netflix']",1 hr. 10 min.,15+ - Teens 15 or older,#1457,#70,"90,089"
Crazy Love(2022),크레이지 러브,8.2,"['Comedy', 'Romance', 'Drama']",['Kim Jung Hyun'],['Kim Bo Gyeom'],16,"Mar  7, 2022 - Apr 26, 2022","Monday, Tuesday",['KBS2'],1 hr. 5 min.,15+ - Teens 15 or older,#1436,#320,"39,616"
